dur,proto,service,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,tcprtt,synack,ackdat,smean,dmean,ct_src_dport_ltm,ct_dst_sport_ltm,ct_flw_http_mthd,attack_cat,label
1.54024,tcp,http,10,10,846,1380,12.335739,3957.8247,6450.9424,2,2,171.13777,164.82222,9947.947,303.70822,0.13347,0.056075,0.077395,85,138,1,1,4,Normal,0
0.22383,tcp,ftp-data,14,6,8928,320,84.88585,296332.03,9542.957,4,1,17.217691,44.6338,1553.9326,66.40778,0.000653,0.000525,0.000128,638,53,1,1,0,Normal,0
0.458092,tcp,-,28,30,4616,3080,124.42915,77748.57,52007.02,7,7,16.95463,15.777621,1031.7845,27.028805,0.000677,0.000535,0.000142,165,103,1,1,0,Normal,0
0.001037,udp,dns,2,2,146,178,2892.9604,563163.0,686595.94,0,0,0.007,0.009,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.019945,tcp,-,16,18,1540,1644,1654.55,579192.8,622913.0,4,4,1.402857,1.145765,86.047646,2.118128,0.000584,0.000464,0.00012,96,91,5,1,0,Normal,0
0.000996,udp,dns,2,2,146,178,3012.048,586345.4,714859.44,0,0,0.002,0.007,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.869102,tcp,-,28,30,4616,3080,65.58494,40980.23,27412.203,7,7,32.17722,29.949759,2300.1553,63.251995,0.000696,0.000556,0.00014,165,103,1,1,0,Normal,0
6.675204,tcp,-,236,438,13558,548216,100.82089,16180.4795,655518.56,21,197,28.403753,15.273908,9823.399,7200.3105,0.000608,0.000497,0.000111,57,1252,1,1,0,Normal,0
0.046435,tcp,ftp-data,6,8,320,1946,279.96124,45999.785,293399.38,1,2,9.224,6.565571,643.6682,15.763128,0.000593,0.000472,0.000121,53,243,1,1,0,Normal,0
1.48972,tcp,ssh,70,66,12472,13028,90.621056,66020.46,68904.23,17,17,21.590145,22.9088,1487.3424,0.0,0.000894,0.000525,0.000369,178,197,1,1,0,Normal,0
1.009051,tcp,http,14,18,1684,10168,30.721937,12399.7705,76142.836,3,5,77.59015,59.324528,8774.514,7682.6597,0.000675,0.00053,0.000145,120,565,1,1,1,Normal,0
0.001025,udp,dns,2,2,130,162,2926.8293,507317.06,632195.1,0,0,0.009,0.008,0.0,0.0,0.0,0.0,0.0,65,81,1,1,0,Normal,0
0.016815,tcp,-,48,50,2958,32642,5768.659,1378293.2,15219745.0,7,18,0.35117,0.340271,19.803543,19.530022,0.000605,0.000479,0.000126,62,653,1,1,0,Normal,0
1.170247,tcp,ftp,12,12,2616,682,19.65397,16393.121,4279.4385,3,4,106.38609,101.75937,5924.2085,151.93501,0.129625,0.049669,0.079956,218,57,1,1,0,Normal,0
0.2368,tcp,-,24,24,4632,2768,198.47974,149966.22,89628.375,7,7,10.278347,10.274608,759.78204,21.567581,0.000618,0.00048,0.000138,193,115,1,1,0,Normal,0
0.783067,tcp,-,10,6,718,268,19.155449,6609.907,2288.4377,2,1,82.97,130.92839,4659.881,213.80322,0.260205,0.128416,0.131789,72,45,1,1,0,Normal,0
0.017032,tcp,-,48,50,2958,33044,5695.162,1360732.8,15210898.0,7,18,0.353617,0.335612,19.572605,18.816977,0.000732,0.000583,0.000149,62,661,1,1,0,Normal,0
8e-06,tcp,-,2,0,90,0,125000.0,45000000.0,0.0,1,0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,45,0,1,1,0,Normal,0
0.800565,tcp,http,10,8,848,1118,21.235003,7634.608,9783.091,2,2,88.95167,91.55171,4679.8345,169.11104,0.173464,0.129934,0.04353,85,140,1,1,0,Normal,0
0.038893,tcp,-,68,68,4030,57474,3471.0618,816805.1,11648163.0,7,27,0.575403,0.573104,32.431755,0.872091,0.000612,0.000492,0.00012,59,845,1,1,0,Normal,0
0.10193,tcp,-,52,54,3182,39076,1030.1187,244952.42,3010144.2,7,20,1.992392,1.949981,0.0,116.11039,0.000683,0.000527,0.000156,61,724,1,1,0,Normal,0
0.013304,tcp,-,16,18,1540,1644,2480.457,868310.3,933854.5,4,4,0.8656,0.742824,58.73923,1.355573,0.000815,0.000672,0.000143,96,91,3,1,0,Normal,0
0.0,arp,-,1,0,46,0,0.0,0.0,0.0,0,0,60000.758,0.0,10.954521,0.0,0.0,0.0,0.0,46,0,2,2,0,Normal,0
0.249697,tcp,ssh,32,24,3728,5474,220.26697,115724.26,168075.7,7,7,8.054742,10.824521,532.7782,16.367662,0.000748,0.000603,0.000145,117,228,1,1,0,Normal,0
0.037132,udp,-,4,4,536,304,188.51665,86609.94,49122.055,0,0,7.008,7.986,9.898788,11.282596,0.0,0.0,0.0,134,76,1,1,0,Normal,0
0.023538,tcp,ftp,52,54,2934,3742,4460.8716,978162.94,1248364.2,11,15,0.474041,0.434151,33.086246,0.77225,0.000653,0.000525,0.000128,56,69,1,1,0,Normal,0
0.550804,tcp,-,16,18,1540,1644,59.91242,20972.977,22556.117,4,4,36.6982,32.37153,3595.946,73.22994,0.000625,0.000487,0.000138,96,91,10,1,0,Normal,0
0.0,arp,-,1,0,46,0,0.0,0.0,0.0,0,0,60000.715,0.0,0.0,0.0,0.0,0.0,0.0,46,0,2,2,0,Normal,0
0.004156,tcp,-,22,14,1470,1728,8421.56,2702598.8,3089509.2,5,4,0.197905,0.265,12.147347,0.353263,0.000711,0.000585,0.000126,67,123,1,1,0,Normal,0
0.018338,tcp,-,16,18,1540,1644,1799.5419,629948.75,677500.25,4,4,1.2016,1.050647,73.03556,2.256671,0.000594,0.000472,0.000122,96,91,6,1,0,Normal,0
0.006957,tcp,ssh,32,24,3728,5474,7905.7065,4153514.2,6032485.0,7,7,0.2319,0.268696,14.484503,0.403772,0.000794,0.000638,0.000156,117,228,1,1,0,Normal,0
0.005932,tcp,-,22,24,1920,4312,7585.9746,2472016.2,5573837.0,6,6,0.263048,0.231739,16.202282,13.248038,0.000735,0.000592,0.000143,87,180,1,1,0,Normal,0
1.529989,tcp,ssh,108,114,9504,12298,144.44548,49234.34,63744.25,26,31,14.296065,13.529885,861.24725,836.7087,0.001223,0.001105,0.000118,88,108,1,1,0,Normal,0
0.094866,tcp,-,22,14,1470,1728,368.94147,118398.586,135348.81,5,4,4.517429,7.249308,411.76895,15.10991,0.000953,0.000507,0.000446,67,123,1,1,0,Normal,0
0.001017,udp,dns,2,2,146,178,2949.8528,574238.0,700098.4,0,0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.004975,tcp,-,22,14,1470,1728,7035.176,2257688.5,2580904.5,5,4,0.236905,0.284769,14.408533,0.374104,0.000772,0.000625,0.000147,67,123,1,1,0,Normal,0
4e-06,udp,-,2,0,1064,0,250000.0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,532,0,10,1,0,Normal,0
0.037088,udp,-,4,4,528,304,188.7403,85418.47,49180.33,0,0,6.992667,7.995333,9.887003,11.294381,0.0,0.0,0.0,132,76,1,1,0,Normal,0
0.018997,tcp,-,40,42,2542,23508,4263.831,1043954.25,9664263.0,7,14,0.47859,0.450902,27.601149,25.548595,0.000629,0.000507,0.000122,64,560,1,1,0,Normal,0
0.675999,tcp,-,16,8,9514,354,34.02372,105562.29,3668.6445,5,1,43.117466,85.00343,3085.239,149.89293,0.127912,0.080968,0.046944,595,44,1,1,0,Normal,0
0.193769,tcp,-,6,2,986,86,36.125492,33937.316,1775.3098,2,1,38.7538,0.008,2443.5745,0.0,0.171343,0.120903,0.05044,164,43,4,1,0,Normal,0
1.285229,tcp,-,10,8,534,354,13.227215,2994.019,1929.6173,2,1,138.6679,176.60387,8753.196,262.6829,0.095552,0.048993,0.046559,53,44,1,1,0,Normal,0
0.001029,udp,dns,2,2,132,164,2915.452,513119.53,637512.1,0,0,0.009,0.007,0.0,0.0,0.0,0.0,0.0,66,82,2,1,0,Normal,0
1.021662,tcp,http,14,18,1684,10168,30.342716,12246.712,75202.95,3,5,78.56284,59.993057,8770.054,7683.4956,0.003628,0.001777,0.001851,120,565,1,1,1,Normal,0
0.004694,tcp,-,18,18,3936,2456,7456.3276,6336600.0,3953984.0,7,7,0.257824,0.247353,12.879238,0.324671,0.000605,0.000484,0.000121,219,136,1,1,0,Normal,0
9e-06,udp,-,2,0,78,0,111111.11,34666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,39,0,1,1,0,Normal,0
0.842641,tcp,http,10,10,822,1148,22.548155,7025.5303,9816.755,2,2,93.615776,87.10145,6036.3,122.3115,0.135908,0.058725,0.077183,82,115,1,1,1,Normal,0
0.016126,tcp,-,48,50,2958,32642,6015.131,1437182.2,15870024.0,7,18,0.336681,0.317612,18.34239,17.689384,0.000691,0.00056,0.000131,62,653,1,1,0,Normal,0
0.000981,udp,dns,2,2,146,178,3058.104,595310.9,725790.0,0,0,0.003,0.009,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
1.02782,tcp,http,14,18,1684,10168,30.160923,12173.338,74752.39,3,5,79.03646,60.43188,8767.364,7676.942,0.000613,0.000475,0.000138,120,565,1,1,1,Normal,0
0.001057,udp,dns,2,2,146,178,2838.2214,552507.06,673604.5,0,0,0.004,0.007,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.221539,tcp,ftp-data,14,6,8928,320,85.76368,299396.5,9641.643,4,1,17.041462,44.187603,1549.9095,65.86737,0.000609,0.000482,0.000127,638,53,1,1,0,Normal,0
0.195222,tcp,-,22,24,2054,2478,230.5068,80359.8,97325.09,6,6,9.279524,8.457348,536.3038,509.7894,0.000863,0.000702,0.000161,93,103,2,1,0,Normal,0
0.034492,udp,-,4,4,568,320,202.9456,98805.516,55665.082,0,0,6.328333,10.986667,8.93618,15.526887,0.0,0.0,0.0,142,80,1,1,0,Normal,0
2.057886,tcp,ftp,52,54,2934,3742,51.023235,11188.181,14278.731,11,15,41.151237,39.56577,3494.4639,88.140884,0.000582,0.00046,0.000122,56,69,1,1,0,Normal,0
0.036195,udp,-,4,4,520,304,193.39688,86199.76,50393.703,0,0,6.666,7.705333,9.416541,10.887088,0.0,0.0,0.0,130,76,1,1,0,Normal,0
1.083437,tcp,-,6,2,978,86,6.46092,6017.8857,317.5081,2,1,216.6874,0.004,11126.717,0.0,0.668894,0.394864,0.27403,163,43,1,1,0,Normal,0
0.223367,tcp,ftp-data,14,6,8928,320,85.061806,296946.28,9562.737,4,1,17.182077,44.542,1592.7382,68.20008,0.000674,0.000536,0.000138,638,53,1,1,0,Normal,0
0.00103,udp,dns,2,2,146,178,2912.6213,566990.25,691262.1,0,0,0.008,0.008,0.0,0.0,0.0,0.0,0.0,73,89,2,1,0,Normal,0
0.010967,tcp,-,34,36,2230,13500,6291.602,1579283.2,9574177.0,7,11,0.321879,0.293371,22.27693,21.75028,0.000814,0.000691,0.000123,66,375,1,1,0,Normal,0
58.814648,tcp,-,20,20,1216,1292,0.6631,157.23975,167.03322,6,7,3095.5078,3091.638,415550.78,12806.112,0.11593,0.060964,0.054966,61,65,1,1,0,Normal,0
0.26037,tcp,ssh,32,24,3728,5474,211.23787,110980.53,161186.02,7,7,8.399032,11.289131,556.93066,17.081827,0.000718,0.000599,0.000119,117,228,1,1,0,Normal,0
0.046671,tcp,ftp-data,6,8,320,1932,278.54556,45767.18,289858.8,1,2,9.2706,6.589857,645.81903,15.818208,0.000672,0.000539,0.000133,53,242,1,1,0,Normal,0
0.224444,tcp,ftp-data,14,6,8928,320,84.65363,295521.38,9516.851,4,1,17.264923,44.7528,1592.7804,68.284874,0.000694,0.000557,0.000137,638,53,1,1,0,Normal,0
0.018331,tcp,ssh,106,114,9400,12298,11946.975,4063935.2,5320386.0,26,31,0.176686,0.167292,10.796977,10.409177,0.000734,0.000588,0.000146,89,108,1,1,0,Normal,0
0.002,udp,-,4,4,536,304,3499.9998,1607999.9,911999.94,0,0,0.544667,0.192,0.764618,0.267996,0.0,0.0,0.0,134,76,1,1,0,Normal,0
7e-06,udp,-,2,0,1064,0,142857.14,608000000.0,0.0,0,0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,532,0,12,1,0,Normal,0
0.020827,tcp,-,52,54,3182,39076,5041.5327,1198828.5,14732031.0,7,20,0.40998,0.36583,21.778267,20.401339,0.001583,0.00143,0.000153,61,724,1,1,0,Normal,0
0.048777,tcp,-,66,68,3926,57474,2726.695,634233.4,9287820.0,7,27,0.756719,0.731864,0.0,50.008377,0.000584,0.00047,0.000114,59,845,1,1,0,Normal,0
0.0,arp,-,1,0,46,0,0.0,0.0,0.0,0,0,60000.72,0.0,0.0,0.0,0.0,0.0,0.0,46,0,1,1,0,Normal,0
1.107082,tcp,http,12,18,1580,10168,26.194988,10470.769,69400.46,3,5,100.611275,65.091415,9578.087,7747.2188,0.000652,0.000524,0.000128,132,565,1,1,1,Normal,0
0.397278,udp,-,4,4,568,320,17.619904,8578.376,4832.8877,0,0,122.65366,99.319,173.44435,140.4519,0.0,0.0,0.0,142,80,1,1,0,Normal,0
1.23456,tcp,ftp,52,54,2934,3740,85.050545,18649.559,23788.232,11,15,24.20092,23.28468,1995.0581,59.228817,0.000589,0.000468,0.000121,56,69,1,1,0,Normal,0
0.210078,udp,-,4,4,520,304,33.320957,14851.627,8682.489,0,0,65.00633,15.998,91.921524,22.62176,0.0,0.0,0.0,130,76,1,1,0,Normal,0
0.004101,tcp,-,22,14,1470,1728,8534.504,2738844.2,3130943.8,5,4,0.195286,0.268538,12.079779,0.350786,0.0006,0.000486,0.000114,67,123,1,1,0,Normal,0
0.021278,tcp,smtp,52,42,37230,3380,4370.7114,13728734.0,1240718.1,18,8,0.410588,0.50561,21.873802,0.870795,0.000691,0.000543,0.000148,716,80,2,1,0,Normal,0
0.001053,udp,dns,2,2,146,178,2849.003,554605.9,676163.4,0,0,0.01,0.007,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.101536,tcp,-,20,20,4120,2560,384.10022,308383.25,191616.77,7,7,5.327526,5.319263,619.3245,18.652693,0.000587,0.000466,0.000121,206,128,1,1,0,Normal,0
0.012904,tcp,-,40,42,2558,23162,6277.1235,1546807.2,14017979.0,7,14,0.331579,0.309025,19.50405,18.181807,0.000698,0.00054,0.000158,64,551,1,1,0,Normal,0
0.005684,udp,-,4,4,568,304,1231.5271,599577.75,320900.78,0,0,1.605,1.122667,2.264863,1.577084,0.0,0.0,0.0,142,76,1,1,0,Normal,0
0.506446,tcp,-,236,438,13558,548216,1328.8682,213266.56,8640052.0,21,197,2.153732,1.157815,109.69724,69.084045,0.000608,0.000477,0.000131,57,1252,1,1,0,Normal,0
0.098201,udp,-,4,4,520,304,71.28237,31771.57,18574.148,0,0,27.68,28.674,39.13836,40.539143,0.0,0.0,0.0,130,76,1,1,0,Normal,0
0.028859,tcp,-,48,50,2958,33044,3361.1697,803077.0,8977165.0,7,18,0.621022,0.577449,45.02794,45.162895,0.000683,0.00056,0.000123,62,661,1,1,0,Normal,0
0.012819,tcp,-,40,42,2558,23162,6318.7456,1557063.8,14110930.0,7,14,0.329026,0.308,18.853928,17.60508,0.000622,0.000496,0.000126,64,551,1,1,0,Normal,0
19.551943,tcp,http,8,10,1052,824,0.869479,376.84235,303.60153,2,2,2792.9666,2172.3728,233197.44,6137.5195,0.000736,0.000578,0.000158,132,82,5,1,1,Normal,0
0.001077,udp,dns,2,2,146,178,2785.5151,542246.94,661095.6,0,0,0.01,0.007,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
0.003182,tcp,ftp-data,6,8,320,1888,4085.4807,671275.94,4153362.8,1,2,0.5666,0.345143,29.957956,0.560621,0.000909,0.000765,0.000144,53,236,1,1,0,Normal,0
0.063942,tcp,smtp,54,42,37938,3380,1485.7214,4658722.0,412874.16,19,8,1.222942,1.548268,86.91221,3.001137,0.00089,0.000459,0.000431,703,80,2,1,0,Normal,0
1.207684,tcp,ssh,70,62,12472,12820,108.47208,81438.516,83558.28,17,17,17.502666,19.780493,1079.7894,1150.3302,0.001127,0.000946,0.000181,178,207,1,1,0,Normal,0
0.024634,tcp,-,60,62,3614,50036,4911.91,1154177.1,15987335.0,7,24,0.411949,0.400117,21.852148,21.058887,0.000763,0.000619,0.000144,60,807,1,1,0,Normal,0
0.936682,tcp,http,10,10,866,1206,20.284367,6661.813,9275.293,2,2,104.075775,97.135895,7471.2715,141.16241,0.099462,0.061776,0.037686,87,121,2,1,0,Normal,0
3e-06,udp,-,2,0,78,0,333333.3,104000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,39,0,2,1,0,Normal,0
1.005811,tcp,http,12,18,1580,10168,28.832455,11525.028,76388.11,3,5,91.40664,59.136707,9530.545,7675.5137,0.000623,0.000484,0.000139,132,565,1,1,1,Normal,0
0.003359,tcp,ftp-data,6,8,320,1930,3870.1995,635903.56,4022625.8,1,2,0.6094,0.408714,35.21194,0.719511,0.000623,0.000495,0.000128,53,241,1,1,0,Normal,0
2.441126,tcp,-,238,438,13662,548216,276.51172,44585.98,1792500.6,21,197,10.386468,5.58505,3768.5159,2763.301,0.000571,0.000457,0.000114,57,1252,2,1,0,Normal,0
1.209362,tcp,http,14,18,1684,10168,25.63335,10345.951,63531.016,3,5,92.99823,71.09459,8853.754,7751.6533,0.000906,0.00075,0.000156,120,565,2,1,1,Normal,0
0.889054,tcp,-,10,6,596,268,16.871866,4832.1025,2015.6256,2,1,88.10711,164.14241,5254.7456,238.7366,0.104337,0.068334,0.036003,60,45,2,2,0,Normal,0
0.034452,tcp,-,28,42,2198,34406,2002.7865,492279.12,7799141.0,5,15,1.263852,0.828415,72.1107,58.815308,0.000605,0.000484,0.000121,79,819,6,1,0,Normal,0
6.718137,tcp,-,276,512,15740,645754,117.14558,18675.416,767466.4,24,231,24.515831,13.146122,10778.672,7891.4253,0.000587,0.000466,0.000121,57,1261,2,1,0,Normal,0
0.034743,tcp,-,30,42,2302,34406,2043.5771,512563.7,7733817.0,5,15,1.187138,0.834707,67.03774,59.30336,0.00064,0.000516,0.000124,77,819,12,1,0,Normal,0
0.13106,tcp,-,84,86,4862,75600,1289.4857,293300.78,4561025.5,7,36,1.575072,1.553964,87.1872,86.47724,0.000648,0.000524,0.000124,58,879,1,1,0,Normal,0
0.330041,tcp,-,10,6,718,268,45.4489,15682.9,5429.6284,2,1,33.64811,52.987396,1821.1597,76.25823,0.133047,0.065095,0.067952,72,45,3,1,0,Normal,0
0.001047,udp,dns,2,2,146,178,2865.3293,557784.1,680038.2,0,0,0.01,0.007,0.0,0.0,0.0,0.0,0.0,73,89,2,2,0,Normal,0
0.001016,udp,dns,2,2,146,178,2952.7559,574803.1,700787.4,0,0,0.004,0.007,0.0,0.0,0.0,0.0,0.0,73,89,2,1,0,Normal,0
0.548916,tcp,-,10,6,534,268,27.326586,7010.18,3264.6162,2,1,57.688,83.664795,3130.776,125.575356,0.245293,0.130584,0.114709,53,45,1,1,0,Normal,0
0.017912,tcp,-,50,50,3078,30506,5527.021,1347476.5,13352389.0,7,18,0.366542,0.349271,21.172998,0.512167,0.001313,0.001133,0.00018,62,610,1,1,0,Normal,0
0.004238,tcp,-,12,12,1064,2260,5427.088,1842378.4,3911278.8,4,4,0.350818,0.327636,17.845236,0.392324,0.000759,0.000625,0.000134,89,188,1,1,0,Normal,0
1.540286,tcp,-,34,12,34210,526,29.215355,172456.3,2508.625,14,1,46.67533,131.25845,4311.6045,191.35425,0.200749,0.095866,0.104883,1006,44,1,1,0,Normal,0
0.001809,udp,-,4,4,520,304,3869.541,1724709.8,1008291.9,0,0,0.44,0.251667,0.61589,0.348133,0.0,0.0,0.0,130,76,1,1,0,Normal,0
1.143724,tcp,http,14,18,1684,10168,27.104443,10939.702,67177.05,3,5,87.951,67.24547,8835.545,7736.3687,0.000686,0.000548,0.000138,120,565,1,1,1,Normal,0
0.330401,tcp,ftp-data,6,8,320,1838,39.346127,6464.8716,38958.72,1,2,66.0158,47.130856,4658.808,115.08622,0.000605,0.000479,0.000126,53,230,1,1,0,Normal,0
0.001559,udp,dns,2,2,146,178,1924.3104,374599.1,456703.03,0,0,0.008,0.007,0.0,0.0,0.0,0.0,0.0,73,89,1,1,0,Normal,0
